 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    3.4780    1.0000   61.1117   61.1117    6.0641    1.9070    4.3258    0.0000  1.0000E-10     -0.3324  1.3197E-02
    3.4910    1.0000   60.8340   60.8340    6.0668    1.9046    4.3277    0.0000  1.0000E-10     -0.3389  1.1719E-02
    3.4991    1.0000   60.6597   60.6597    6.0717    1.8820    4.3402    0.0000  1.0000E-10     -0.3431  1.1824E-02
    3.5051    1.0000   60.5339   60.5339    6.0770    1.8487    4.3582    0.0000  1.0000E-10     -0.3461  1.2721E-02
    3.5099    1.0000   60.4382   60.4382    6.0823    1.8094    4.3791    0.0000  1.0000E-10     -0.3484  1.4183E-02
    3.5128    1.0000   60.3837   60.3837    6.0860    1.7795    4.3950    0.0000  1.0000E-10     -0.3497  1.5522E-02
    3.5128    1.0000   60.3837   60.3837    6.0860    1.7795    4.3950    0.0000  1.0000E-10     -0.3497  1.5522E-02
    3.5128    2.0000   60.3836   60.3836    6.0860    1.7651    4.4022   24.4166  1.0000E-10     -0.3497  2.7378E-02
    3.5129    2.0000   60.3836   60.3799    6.0853    1.8062    4.3815   24.4288  1.0000E-10     -0.3497  2.3444E-02
    3.5130    2.0000   60.3836   60.3762    6.0847    1.8472    4.3609   24.4411  1.0000E-10     -0.3497  2.0019E-02
    3.5131    2.0000   60.3836   60.3725    6.0841    1.8883    4.3402   24.4533  1.0000E-10     -0.3497  1.7050E-02
    3.5132    2.0000   60.3836   60.3688    6.0835    1.9293    4.3195   24.4656  1.0000E-10     -0.3497  1.4487E-02
    3.5132    2.0000   60.3836   60.3651    6.0829    1.9704    4.2988   24.4779  1.0000E-10     -0.3497  1.2283E-02
    3.5133    2.0000   60.3836   60.3611    6.0823    2.0114    4.2782   24.4901  1.0000E-10     -0.3497  1.0392E-02
    3.5134    2.0000   60.3836   60.3365    6.0817    2.0524    4.2575   24.5024  1.0000E-10     -0.3497  8.6316E-03
    3.5135    2.0000   60.3836   60.1976    6.0811    2.0935    4.2368   24.5146  1.0000E-10     -0.3497  6.4728E-03
    3.5136    2.0000   60.3836   59.7307    6.0805    2.1347    4.2160   24.5269  1.0000E-10     -0.3497  3.3063E-03
    3.5137    2.0000   60.3836   59.1334    6.0802    2.1554    4.2056   24.5330  1.0000E-10     -0.3497  1.4417E-03
    3.5137    2.0000   60.3836   58.5420    6.0800    2.1691    4.1987   24.5371  1.0000E-10     -0.3497  6.3449E-04
    3.5137    2.0000   60.3836   57.9566    6.0799    2.1798    4.1933   24.5402  1.0000E-10     -0.3497  2.7831E-04
    3.5138    2.0000   60.3836   57.3770    6.0797    2.1886    4.1889   24.5427  1.0000E-10     -0.3497  1.2119E-04
    3.5138    2.0000   60.3836   56.8033    6.0796    2.1961    4.1851   24.5449  1.0000E-10     -0.3497  5.2295E-05
    3.5138    2.0000   60.3836   56.2352    6.0795    2.2028    4.1818   24.5468  1.0000E-10     -0.3497  2.2335E-05
    3.5138    2.0000   60.3836   55.6729    6.0794    2.2087    4.1788   24.5485  1.0000E-10     -0.3497  9.4338E-06
    3.5138    2.0000   60.3836   55.1162    6.0794    2.2141    4.1761   24.5500  1.0000E-10     -0.3497  3.9379E-06
    3.5138    2.0000   60.3836   54.5650    6.0793    2.2190    4.1736   24.5514  1.0000E-10     -0.3497  1.6235E-06
    3.5138    2.0000   60.3836   54.0193    6.0792    2.2235    4.1713   24.5527  1.0000E-10     -0.3497  6.6068E-07
    3.5138    2.0000   60.3836   53.4791    6.0792    2.2277    4.1692   24.5539  1.0000E-10     -0.3497  2.6525E-07
    3.5139    2.0000   60.3836   52.9444    6.0791    2.2317    4.1672   24.5550  1.0000E-10     -0.3497  1.0500E-07
    3.5139    2.0000   60.3836   52.4149    6.0791    2.2353    4.1654   24.5560  1.0000E-10     -0.3497  4.0953E-08
    3.5139    2.0000   60.3836   51.8908    6.0790    2.2388    4.1636   24.5569  1.0000E-10     -0.3497  1.5730E-08
